URL,ISBN,Goodreads ID,Title,"Author(s)/Illustrators/Other Contributors (Editors, Translators, Sources, etc.)",Categorization,Subject(s),Gender,Career Type/Known For
https://www.indigo.ca/en-ca/alans-war-the-memories-of-g.i.-alan-cope/9781596430969.html,9781596430969,2943009-alan-s-war,Alan's War: The Memories Of G.i. Alan Cope,Emmanuel Guibert,Collective Biography,Alan Cope,Male,Soldier
https://us.macmillan.com/books/9780809016495/the-beats,9780809016495,7477328-the-beats,The Beats: A Graphic History,"Harvey Pekar, Ed Piskor, Paul Buhle, Trina Robbins, Peter Kuper",Collective Biography,"Kerouac, Ginsberg, Burroughs, Jay DeFeo",Mixed,Various
https://us.macmillan.com/books/9780809095087/trotsky,9780809095087,6600626-trotsky,Trotsky,Rick Geary,Biography,Leon Trotsky,Male,Revolutionary/Statesmen
https://us.macmillan.com/books/9780809095032/j-edgar-hoover,9780809095032,1765760.J_Edgar_Hoover,J. Edgar Hoover: A True History of Violence,Rick Geary,Biography,J. Edgar Hoover,Male,FBI Chief
https://us.macmillan.com/books/9780809095049/malcolm-x,9780809095049,31080.Malcolm_X,Malcolm X: A Graphic Biography,"Andrew Helfer, Randy DuBurke",Biography,Malcom X,Male,Civil Rights Activist
https://us.macmillan.com/books/9781250777942/hawking,9781250777942,54017867-hawking,Hawking,"Jim Ottaviani, Leland Myrick",Biography,Stephen Hawking,Male,Physicist
https://us.macmillan.com/books/9781596432871/grace,9781596432871,10991383-grace,Grace: The Jeff Buckley Story,"Tiffanie DeBartolo, Pascal Dizin, Lisa Reist",Biography,Jeff Buckley,Male,Musician
https://us.macmillan.com/books/9781250224880/monk,9781250224880,,"Monk!: Thelonious, Pannonica, and the Friendship Behind a Musical Revolution",Youssef Daoudi,Biography,Thelonious Monk,Male,Musician
https://us.macmillan.com/books/9781626723160/is-this-guy-for-real,9781626723160,34506909-is-this-guy-for-real,Is This Guy For Real? The Unbelievable Andy Kaufman,Brian Brown,Biography,Andy Kaufman,Male,Comedian
https://us.macmillan.com/books/9781596438279/feynman,9781596438279,15792872-feynman,Feynman,"Jim Ottaviani, Leland Myrick",Biography,Richard Feynman,Male,Physicist
https://us.macmillan.com/books/9781596438514/andre-the-giant,9781596438514,18465496-andre-the-giant,Andre The Giant: Life And Legend,Brian Brown,Biography,Andre The Giant,Male,"Professional Wrestler, Actor"
https://www.indigo.ca/en-ca/verissimus-the-stoic-philosophy-of-marcus-aurelius/9781250270955.html,9781250270955,58724891-verissimus,Verissimus: The Stoic Philosophy Of Marcus Aurelius,"Donald J. Robertson, Ze Nuno Fraga",Biography,Marcus Aurelius,Male,Roman Emporer
https://us.macmillan.com/books/9781626728523/now-let-me-fly,9781626728523,60316981-now-let-me-fly,Now Let Me Fly: A Portrait Of Eugene Bullard,"Ronald Wimberly, Brahm Revel",Biography,Eugene Bullard,Male,Fighter Pilot
https://idwpublishing.com/products/march-book-one?variant=44894945018155,9781603093002,17346698-march,March: Book One,"John Lewis, Andrew Aydin, Nate Powell",Collaborative Autobio,John Lewis,Male,Politician
https://idwpublishing.com/products/funny-things-a-comic-strip-biography-of-charles-m-schulz?variant=46532419060011,9781603095266,64391839-funny-things,Funny Things: A Comic Strip Biography of Charles M. Schulz,"Luca Debus, Francesco Matteuzzi",Biography,Charles Schulz,Male,Cartoonist
https://idwpublishing.com/products/they-called-us-enemy-expanded-edition?variant=44895296258347,9781603094702,52211831-they-called-us-enemy,They Called Us Enemy: Expanded Edition,"George Takei, Justin Eisinger, Steven Scott, Harmony Becker",Collaborative Autobio,George Takei,Male,Actor
https://idwpublishing.com/products/march-book-two?variant=44894945313067,9781603094009,22487952-march,March: Book Two,"John Lewis, Andrew Aydin, Nate Powell",Collaborative Autobio,John Lewis,Male,Politician
https://idwpublishing.com/products/genius-isolated-the-life-and-art-of-alex-toth?variant=45247077384491,9781600108280,8721708-genius-isolated,"Genius, Isolated: The Life and Art of Alex Toth","Dean Mullaney, Bruce Canwell",Biography,Alex Toth,Male,Cartoonist
https://idwpublishing.com/products/march-book-three-hc?variant=44894945247531,9781603094023,29436571-march,March: Book Three,"John Lewis, Andrew Aydin, Nate Powell",Collaborative Autobio,John Lewis,Male,Politician
https://www.fantagraphics.com/collections/biography-memoir/products/evita-the-life-and-work-of-eva-peron,9781683966913,61363164-evita,Evita: The Life And Work Of Eva Perón,"Héctor Germán Oesterheld, Alberto Breccia, Enrique Breccia, Erica Mena",Biography,Eva Perón,Female,Argentine First Lady
https://www.fantagraphics.com/collections/biography-memoir/products/golden-boy-beethovens-youth,9781683965510,59551313-golden-boy,Golden Boy: Beethoven's Youth,Mikael Ross,Biography,Beethoven,Male,Musician
https://www.fantagraphics.com/products/ms-davis-a-graphic-biography,9781683965695,61363154-ms-davis,Ms. Davis,"Sybille De La Croix, Amazing Ameziane",Biography,Angela Davis,Female,"Professor, Political Activist"
https://www.fantagraphics.com/collections/biography-memoir/products/anais-nin-a-sea-of-lies,9782203161917,54571511-ana-s-nin---sur-la-mer-des-mensonges,Anaïs Nin: A Sea of Lies,Leonie Bischoff,Biography,Anaïs Nin,Female,Author
https://www.fantagraphics.com/collections/biography-memoir/products/delights-a-story-of-hieronymus-bosch,9781683969525,199451852-delights,Delights: A Story of Hieronymus Bosch,Guy Colwell,Biography,Jheronimus van Aken,Male,Artist
https://www.fantagraphics.com/collections/biography-memoir/products/i-know-what-i-am,9781683962113,50022132-i-know-what-i-am,I Know What I Am: The Life and Times of Artemisia Gentileschi,Gina Siciliano,Biography,Artemisia Gentileschi,Female,Artist
https://www.fantagraphics.com/collections/biography-memoir/products/life-of-che,9781683965220,58558353-life-of-che,Life of Che: An Impressionistic Biography,"Héctor Germán Oesterheld, Alberto Breccia, Enrique Breccia, Pablo Turnes, Erica Mena",Biography,Che Guevera,Male,Revolutionary/Statesmen
https://www.fantagraphics.com/collections/biography-memoir/products/memorabilia,9781683961482,38458481-memorabilia,Memorabilia,"Sergio Ponchione, Diego Ceresa",Collective Biography,"Steve Ditko, Jack Kirby, Wallace Wood, Will Eisner, Richard Corben",Male,Cartoonists
https://www.fantagraphics.com/collections/biography-memoir/products/john-stanley,9781606999905,30341584-john-stanley,John Stanley: Giving Life To Little Lulu,"Bill Schelly, John Stanley",Biography,John Stanley,Male,Cartoonist
https://www.fantagraphics.com/collections/biography-memoir/products/were-all-just-fine,9781683965800,61363155-we-re-all-just-fine,We're All Just Fine,"Ana Penyas, Andrea Rosenberg",Family Biography,"Maruja Penyas, Herminia Penyas",Female,
https://www.fantagraphics.com/collections/biography-memoir/products/winter-warrior,9781683962137,42038564-winter-warrior,Winter Warrior: A Vietnam Vet's Anti-War Odyssey,"Eve Gilbert, Scott Camil",Collaborative Autobio,Scott Camil,Male,Anti-War Activist
https://www.fantagraphics.com/collections/biography-memoir/products/johnny-appleseed,9781683960447,34445181-johnny-appleseed,Johnny Appleseed,"Paul Buhle, Noah van Sciver",Biography,John Chapman,Male,Botanist
https://www.fantagraphics.com/collections/biography-memoir/products/the-ladies-in-waiting,9781683960126,32191895-the-ladies-in-waiting,The-Ladies-In-Waiting,"Santiago Garcia, Javier Olivares, Erica Mena",Biography,Diego Velázquez,Male,Painter
https://www.fantagraphics.com/collections/biography-memoir/products/the-hypo,9781606996195,14475543-the-hypo,The Hypo: The Melancholic Young Lincoln,Noah Van Sciver,Biography,Abraham Lincoln,Male,Politician
https://www.fantagraphics.com/collections/biography-memoir/products/man-in-furs,9781683964803,57322548-man-in-furs,Man In Furs,"Catherine Sauvat, Anne Simon, Mercedes Claire Gilliom",Biography,Leopold von Sacher-Masoch,Male,"Author, Socialite"
https://www.fantagraphics.com/collections/biography-memoir/products/michael-jordan,9781606997116,17591966-michael-jordan,Michael Jordan: Bull On Parade,Wilfred Santiago,Biography,Michael Jordan,Male,Athlete
