shelves
"['art', 'biography', 'graphic_novel']"
"['2023-release', 'biographical', 'childrens-or-ya']"
[]
"['art', 'biography', 'graphic-novel']"
[]
['graphic-novels']
"['graphic-novels', 'nonfiction', 'ya-lit']"
"['artsy', 'biography-memoir', 'female']"
"['biography', 'graphic-novel']"
[]
[]
[]
"['arc-arc-arc', 'arty-farty', 'bandes-dessinees']"
['çizgi-roman-manga-vb']
[]
[]
"['arc', 'graphic-novels', 'historical-fiction']"
[]
[]
"['arcs', 'graphic-novel', 'historical-fiction']"
[]
[]
[]
[]
[]
['graphic-novels']
"['arcs', 'comics']"
"['graphic-novels-trades', 'library', 'x-read-2022']"
[]
"['art', 'beautiful', 'graphic-novels-and-comics']"
[]
[]
[]
"['earc', 'graphic-novels', 'literary-fiction']"
"['2022-releases', 'comics-and-graphic-novels', 'netgalley']"
['arcs']
"['graphic-novel', 'netgalley']"
[]
"['netgalley-reviews', 'read-2022']"
"['adult', 'comics-gn', 'historical-fiction']"
[]
['netgalley']
[]
[]
"['3-5-stars', 'read-2022']"
[]
"['2022', 'graphic-novels']"
"['graphic-novel-comic', 'netgalley']"
['comics']
['netgalley']
[]
"['2022-reads', 'arcs', 'graphic-novel']"
['arcs']
"['aty-2022', 'prerelease']"
[]
['poletni-bingo-2022']
[]
[]
[]
"['art', 'beautiful-disaster', 'could-be-better']"
"['arc', 'netgalley']"
[]
[]
[]
"['africa', 'art', 'biography']"
[]
[]
[]
"['genre-graphic', 'genre-historical-fiction', 'pages-up-to-200']"
[]
[]
['historical-fiction']
[]
"['2018', 'biography', 'graphic-novel']"
[]
[]
[]
['netgalley']
['comics']
"['2019', 'biography', 'booktopians']"
[]
"['biography', 'graphic-novels', 'science']"
['tla_tl_2020']
"['biography', 'graphic', 'macmillan']"
"['biography', 'e', 'giveaways']"
[]
['nonfiction']
[]
['nonfiction']
"['2019-challenge-books', 'comics-manga', 'library-reads']"
"['arc', 'graphic-memoir']"
"['eradl-physical-collection', 'own']"
['19july']
"['nonfiction', 'physics', 'science']"
[]
"['2021', 'biography', 'graphix']"
['long-distance-book-club']
"['diverse-but-not-about-diversity', 'graphic-novel', 'non-fiction']"
"['graphic-novel', 'non-fiction', 'physically-own']"
[]
"['comics-and-graphic-novels', 'disability', 'ebook-other']"
[]
"['biography', 'community', 'compassion']"
[]
"['biography', 'graphic-novels']"
[]
"['biography-memoir', 'graphic-novels', 'no-limits']"
['2020-reading-list']
['graphic-novels']
[]
[]
['z-2019-m-w']
['2019']
['biography']
[]
"['gn', 'nonfiction']"
[]
"['biography', 'graphic-novels', 'history']"
[]
"['adults', 'graphic-novels', 'non-fiction']"
"['cosmology', 'non-fiction', 'physics']"
[]
[]
[]
"['biography-memoir', 'graphic-novels-comic-books', 'netgalley']"
[]
[]
[]
[]
[]
"['graphic-novels', 'jaxson']"
[]
[]
"['graphic-novel', 'memoir-biography-autobio', 'science']"
[]
"['biography', 'non-fiction']"
[]
[]
[]
"['biography', 'graphic-novel', 'history-historical']"
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
"['bios-memoirs', 'graphic-books', 'library-loan']"
[]
[]
[]
['science']
[]
"['arc', 'digital', 'netgalley-edelweiss']"
['graphic-novels-and-manga']
[]
"['2020', 'graphic-novel', 'library-book']"
"['2020', 'bio-memoir']"
"['biography', 'historical', 'science']"
[]
[]
[]
['2021']
[]
[]
[]
[]
['ya']
['2022-reading-challenge']
[]
['graphic-novels-non-fiction']
['graphic-novel']
"['2019-copyright', 'graphic-novel', 'nonfic']"
[]
"['biographies', 'history']"
[]
['2019']
['grade-8-semester-2']
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
"['american-history', 'graphic-novels', 'translated-titles']"
[]
[]
[]
[]
[]
[]
['comic-books']
[]
"['adaptations', 'bleak', 'foreign']"
[]
[]
[]
[]
['graphic-novel']
['comics']
[]
['graphic-novels']
[]
"['graphic-novels', 'historical-fiction']"
[]
"['graphic-books', 'justice-racism']"
[]
[]
