Id,Label,Frequency
bildungsroman,bildungsroman,4
comixology,comixology,4
educational,educational,4
books-loved-2015,books-loved-2015,4
graphic_comics,graphic_comics,4
netedel-2023,netedel-2023,4
graphic-novels-memoirs,graphic-novels-memoirs,4
graphic-novel-comics-zines,graphic-novel-comics-zines,4
read-don-t-own-and-don-t-wanna,read-don-t-own-and-don-t-wanna,4
alex-award,alex-award,4
2021-reading-challenge,2021-reading-challenge,4
2012-reads,2012-reads,4
best-of-the-best,best-of-the-best,4
adult-ya-crossovers,adult-ya-crossovers,4
for-adults,for-adults,4
comic-graphic-novels,comic-graphic-novels,4
books-read-in-2021,books-read-in-2021,4
2010-19,2010-19,4
graphic_novels_and_comics,graphic_novels_and_comics,4
general-non-fiction,general-non-fiction,4
for-school,for-school,4
read-harder-challenge,read-harder-challenge,4
one-sitting,one-sitting,4
2018-books,2018-books,4
graphic-fiction,graphic-fiction,4
library-physical-books,library-physical-books,4
nbhs,nbhs,4
manga-comics,manga-comics,4
graphically-speaking,graphically-speaking,4
not-owned,not-owned,4
comics-memoir,comics-memoir,4
male-authors,male-authors,4
anger,anger,4
class-1-7,class-1-7,4
non,non,4
classroom-library,classroom-library,4
i-own-it,i-own-it,4
adaptation,adaptation,4
crime-mystery,crime-mystery,4
auto-biography-memoir,auto-biography-memoir,4
nonfiction-graphics,nonfiction-graphics,4
adult-books,adult-books,4
people,people,4
memoir-auto-bio,memoir-auto-bio,4
aging,aging,4
lit-in-translation,lit-in-translation,4
audience-adult,audience-adult,4
2020-challenge,2020-challenge,4
owned-read,owned-read,4
2016reviews,2016reviews,4
1960-s,1960-s,4
rock-n-roll,rock-n-roll,4
gn-psych,gn-psych,4
mexico,mexico,4
arcs-n-giveaways,arcs-n-giveaways,4
nonfiction-read,nonfiction-read,4
collection-comic-manga-gn,collection-comic-manga-gn,4
books-read-in-2020,books-read-in-2020,4
graphic-novels-picture-books,graphic-novels-picture-books,4
new-york,new-york,4
creativity,creativity,4
books-i-have-reviewed,books-i-have-reviewed,4
artistic,artistic,4
netgalley-books,netgalley-books,4
physical,physical,4
jugs-capes,jugs-capes,4
paper,paper,4
gn-sports,gn-sports,4
argentina,argentina,4
gn-women,gn-women,4
y-2023,y-2023,4
diverse-voices,diverse-voices,4
art-books,art-books,4
my-favorites,my-favorites,4
bipoc-books,bipoc-books,4
adult-nf,adult-nf,4
best-of-2016,best-of-2016,4
diverse-reads,diverse-reads,4
aa-unitedstateslit,aa-unitedstateslit,4
audience-young-adult,audience-young-adult,4
north-america,north-america,4
american-lit,american-lit,4
2024-books,2024-books,4
graphic-novel-non-fiction,graphic-novel-non-fiction,4
african-americans,african-americans,4
autobio-biography-memoir,autobio-biography-memoir,4
mc-is-poc,mc-is-poc,4
for-teaching,for-teaching,4
wishlist,wishlist,4
graphic_or_comix,graphic_or_comix,4
caudill-2019,caudill-2019,4
history-historical-fiction,history-historical-fiction,4
re-read,re-read,4
american-literature,american-literature,4
comics-nonfiction,comics-nonfiction,4
diverse-literature,diverse-literature,4
ya-literature,ya-literature,4
john-lewis,john-lewis,4
middle-school-books,middle-school-books,4
middle-grades,middle-grades,4
2022-favorites,2022-favorites,4
books-i-want-to-teach,books-i-want-to-teach,4
emotional,emotional,4
libby,libby,4
justice,justice,4
2020-reading,2020-reading,4
equity,equity,4
bio-autobio-memoirs,bio-autobio-memoirs,4
couldn-t-put-down,couldn-t-put-down,4
nonfiction-biography-memoir,nonfiction-biography-memoir,4
hs,hs,4
children-s-ya,children-s-ya,4
2017-challenge,2017-challenge,4
children-s-nonfiction,children-s-nonfiction,4
biography-history,biography-history,4
other-non-fiction,other-non-fiction,4
educate-yourself,educate-yourself,4
drama,drama,4
children-s-non-fiction,children-s-non-fiction,4
race-in-america,race-in-america,4
poc-author,poc-author,4
adult_w_ya_appeal,adult_w_ya_appeal,4
g-non-fiction,g-non-fiction,4
diverse-author,diverse-author,4
arc-galley,arc-galley,4
nature,nature,4
nf-comics,nf-comics,4
my-library,my-library,4
2015-reading-challenge,2015-reading-challenge,4
shreve,shreve,4
black-experience,black-experience,4
2010,2010,4
life-stories,life-stories,4
religion,religion,4
goodreads-giveaways,goodreads-giveaways,4
music-books,music-books,4
canadiana,canadiana,4
indigenous,indigenous,4
disappointing,disappointing,4
novel,novel,4
read-in-2011,read-in-2011,4
2022-read,2022-read,4
asia,asia,4
palestine,palestine,4
middle-east,middle-east,4
buddhism,buddhism,4
netgalley-reviews,netgalley-reviews,3
comics-gn,comics-gn,3
3-5-stars,3-5-stars,3
eradl-physical-collection,eradl-physical-collection,3
2022-reading-challenge,2022-reading-challenge,3
justice-racism,justice-racism,3
graphic-biographies,graphic-biographies,3
non-fiction-auto-biography-memoir,non-fiction-auto-biography-memoir,3
feminist-lit,feminist-lit,3
gay,gay,3
communism,communism,3
graphic-lit,graphic-lit,3
bande-dessinee,bande-dessinee,3
0-graphic-novels,0-graphic-novels,3
1930s,1930s,3
owned-in-english,owned-in-english,3
gn-environment,gn-environment,3
young-adult-books,young-adult-books,3
military-history,military-history,3
russian,russian,3
yalsa-2013-hub-reading-challenge,yalsa-2013-hub-reading-challenge,3
teen-lit,teen-lit,3
graphic-texts,graphic-texts,3
ggnft,ggnft,3
math-science,math-science,3
journalism,journalism,3
history-world-war-ii,history-world-war-ii,3
2015-gnc,2015-gnc,3
3-library,3-library,3
3-early-galley-copy,3-early-galley-copy,3
graphicnovels-comics,graphicnovels-comics,3
misc,misc,3
italy,italy,3
dead-tree-book,dead-tree-book,3
grown-ups,grown-ups,3
women,women,3
x2019-20-season,x2019-20-season,3
60-s,60-s,3
2024-reading-list,2024-reading-list,3
1920s,1920s,3
english-from-abroad,english-from-abroad,3
français,français,3
adult-reads,adult-reads,3
bibliophage,bibliophage,3
edelweiss-2022,edelweiss-2022,3
sequential-art-graphic-novel,sequential-art-graphic-novel,3
gn-non-fiction,gn-non-fiction,3
graphic-fiction-non-fiction,graphic-fiction-non-fiction,3
history-current-events,history-current-events,3
netgalley-2023,netgalley-2023,3
netgalley-arcs,netgalley-arcs,3
graphic-novelly-stuff,graphic-novelly-stuff,3
disturbing,disturbing,3
books-read-in-2019,books-read-in-2019,3
best-comics,best-comics,3
best-non-fiction,best-non-fiction,3
nonfiction-general,nonfiction-general,3
other,other,3
alcohol,alcohol,3
read-adult,read-adult,3
cannibalism,cannibalism,3
everyday-drama,everyday-drama,3
english-356,english-356,3
356,356,3
graphic-whatevers,graphic-whatevers,3
eng-429,eng-429,3
1970s,1970s,3
based-on-true-story,based-on-true-story,3
action-adventure,action-adventure,3
biographies-and-autobiographies,biographies-and-autobiographies,3
serial-killer,serial-killer,3
library-read,library-read,3
graphic-novel-or-manga,graphic-novel-or-manga,3
mr-wright-s-classroom-library,mr-wright-s-classroom-library,3
genre-non-fiction,genre-non-fiction,3
graphic-works,graphic-works,3
356-1-7,356-1-7,3
for-work,for-work,3
trades-read,trades-read,3
alan,alan,3
at-school,at-school,3
staff-recommendations,staff-recommendations,3
nonfiction-memoir,nonfiction-memoir,3
comics-other-publishers,comics-other-publishers,3
website,website,3
graphic-novels-and-art,graphic-novels-and-art,3
five-star-reads,five-star-reads,3
print,print,3
dutch,dutch,3
biographies-and-non-fiction-comics,biographies-and-non-fiction-comics,3
graphica,graphica,3
bio-or-memoir,bio-or-memoir,3
trade,trade,3
2016-read,2016-read,3
mystery,mystery,3
for-teens-and-adults,for-teens-and-adults,3
biography-memoir-diary,biography-memoir-diary,3
britain,britain,3
2018-releases,2018-releases,3
bipoc-actor,bipoc-actor,3
best-graphic-works,best-graphic-works,3
did-not-finish,did-not-finish,3
access-library,access-library,3
book-group-selection,book-group-selection,3
non-fiction-challenge,non-fiction-challenge,3
artist,artist,3
2017-graphic-novels,2017-graphic-novels,3
history-wwii-holocaust,history-wwii-holocaust,3
informational-text,informational-text,3
free,free,3
2023reads,2023reads,3
bage-young-adult,bage-young-adult,3
format-graphic-novels,format-graphic-novels,3
2-stars,2-stars,3
biograpy,biograpy,3
2019-books,2019-books,3
2024-read,2024-read,3
on-my-shelves,on-my-shelves,3
f-graphic-novel,f-graphic-novel,3
graphic-novels-comics-and-manga,graphic-novels-comics-and-manga,3
2023-comics,2023-comics,3
back_in_time,back_in_time,3
brain_picker,brain_picker,3
manga-comics-graphic-novels,manga-comics-graphic-novels,3
paperback,paperback,3
black-books,black-books,3
books-read-in-2023,books-read-in-2023,3
book-club-selection,book-club-selection,3
all-time-classic-comics,all-time-classic-comics,3
hardcover-to-buy,hardcover-to-buy,3
award-various,award-various,3
aoc-male,aoc-male,3
aa-africanamerican,aa-africanamerican,3
all-five-star,all-five-star,3
ebooks-kindle-etc,ebooks-kindle-etc,3
diversity-on-cover,diversity-on-cover,3
diverse-reads-black-experiences,diverse-reads-black-experiences,3
african-american-issues,african-american-issues,3
battle-of-the-books,battle-of-the-books,3
fiction-series,fiction-series,3
autobio-or-memoir,autobio-or-memoir,3
politics-movements,politics-movements,3
racism-tyranny-social-injustice-etc,racism-tyranny-social-injustice-etc,3
r-2020,r-2020,3
r-nf-history,r-nf-history,3
informational-nonfiction,informational-nonfiction,3
6th-grade,6th-grade,3
0-own-nf,0-own-nf,3
required-reading,required-reading,3
genre-non-fic,genre-non-fic,3
gr-challenge-2022,gr-challenge-2022,3
historical-fiction-middle,historical-fiction-middle,3
anthropology,anthropology,3
age-high-school,age-high-school,3
black-literature,black-literature,3
history-north-america,history-north-america,3
be-the-change,be-the-change,3
2020-reading-challenge,2020-reading-challenge,3
beatthebacklist2018,beatthebacklist2018,3
diverse-lady-book-project,diverse-lady-book-project,3
reviewed-snark-and-squee,reviewed-snark-and-squee,3
gave-me-pause,gave-me-pause,3
add-to-site,add-to-site,3
2022-challenges,2022-challenges,3
culture-african-american,culture-african-american,3
book-library,book-library,3
school-reads,school-reads,3
american-nonfiction,american-nonfiction,3
black-history-and-culture,black-history-and-culture,3
graphic-form,graphic-form,3
childrens-lit,childrens-lit,3
2022-popsugar-aty-challenge,2022-popsugar-aty-challenge,3
all-read-nonfiction,all-read-nonfiction,3
hard-to-put-down,hard-to-put-down,3
american-politics-and-history,american-politics-and-history,3
books-in-2020,books-in-2020,3
find-a-way-to-buy-this,find-a-way-to-buy-this,3
must-own,must-own,3
cultural-african-american,cultural-african-american,3
1-2022-read,1-2022-read,3
book-club-olli,book-club-olli,3
how-to-not-suck-as-a-human-being,how-to-not-suck-as-a-human-being,3
graphic-novel-comix,graphic-novel-comix,3
reading-challenge-2017,reading-challenge-2017,3
jc-public-library,jc-public-library,3
2023-all,2023-all,3
2023-new,2023-new,3
good-books,good-books,3
black-lit,black-lit,3
critical-race-studies,critical-race-studies,3
essential-reads,essential-reads,3
other-graphic-novels,other-graphic-novels,3
adult-titles,adult-titles,3
history-general,history-general,3
hub-challenge-2014,hub-challenge-2014,3
political-science,political-science,3
true-story-more-or-less,true-story-more-or-less,3
comic-book-graphic-novel,comic-book-graphic-novel,3
read-in-march-2017,read-in-march-2017,3
children-ya,children-ya,3
books-read-since-baby-2-s-birth,books-read-since-baby-2-s-birth,3
books-read-since-baby-s-birth,books-read-since-baby-s-birth,3
graphic-novel-memoir,graphic-novel-memoir,3
black-lives,black-lives,3
